trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-71.1531277036966,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,6,-72.71856094688026,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,1,-42.32323886326186,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,2,-104.31299635072476,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 2}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,0,-18.37181935863414,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-25.408547733101035,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",30,12,21.651069573224277,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",30,0,-114.54876700151506,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,16,-34.75900951283875,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,-65.530528136635,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,4,12.990480685018266,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,4,-38.71807052213234,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
